Street;Neighbourhood;City;Zipcode;Country;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews;Reviews per Month
Madrid, Madrid 28035, Spain;Fuencarral-El Pardo;Madrid;28035;Spain;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49;969.0;23.0;100.0;10.0;15;15;1;1;0.06
Aluche, Madrid, Madrid 28011, Spain;Aluche;Madrid;28011;Spain;Dorm;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Wheelchair accessible,Smoking allowed,Doorman,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Heating;43.0;50.0;;;1;0;1;0;
Aluche, Madrid, Community of Madrid 28044, Spain;Aluche;Madrid;28044;Spain;Tent;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo;646.0;25.0;100.0;9.0;1;6;1;13;0.47
Palos do Moguer, Madrid, Madrid 28045, Spain;Palos do Moguer;Madrid;28045;Spain;Apartment;Private room;1;1.5;1.0;1.0;Real Bed;TV,Wireless Internet,Wheelchair accessible,Doorman,Elevator in building,Heating,First aid kit;108.0;22.0;;;1;0;1;7;0.12
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Cat(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;915.0;70.0;;30.0;2;8;3;7;0.12
Sol, Madrid, Madrid 28012, Spain;Sol;Madrid;28012;Spain;Loft;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;431.0;77.0;200.0;33.0;2;11;10;15;0.31
Almenara, Madrid, Madrid 28029, Spain;Almenara;Madrid;28029;Spain;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron;431.0;52.0;150.0;;2;0;2;3;0.06
Arapiles, Madrid, Madrid 28015, Spain;Arapiles;Madrid;28015;Spain;Apartment;Entire home/apt;6;2.0;3.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Washer / Dryer,Doorman,Elevator in building,Hot tub,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer;1722.0;145.0;300.0;42.0;2;13;3;10;0.43
Almagro, Madrid, Community of Madrid 28010, Spain;Almagro;Madrid;28010;Spain;House;Private room;11;3.0;4.0;9.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room,Private entrance;2691.0;23.0;100.0;30.0;1;22;4;9;0.23
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Family/kid friendly,Washer,Dryer;969.0;60.0;;;1;0;1;1;0.16
