Street;Neighbourhood;City;Zipcode;Country;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews;Reviews per Month
Madrid, Community of Madrid, Spain;;Madrid;;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Cable TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;55.0;;;1;0;1;72;7.63
Madrid, Comunidad de Madrid 28017, Spain;;Madrid;28017;Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials;21.0;;;1;0;1;0;
Cortes, Madrid, Comunidad de Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;110.0;175.0;50.0;4;15;2;58;2.28
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;39.0;;;1;0;2;11;2.97
Pacifico, Madrid, Comunidad de Madrid 28007, Spain;Pacifico;Madrid;28007;Spain;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Washer,Essentials,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;500.0;;;1;0;1;1;0.1
Madrid, Comunidad de Madrid, Spain;;Madrid;;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,translation missing: en.hosting_amenity_50;65.0;;10.0;1;0;1;0;
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Heating,Family/kid friendly,Essentials,Shampoo;50.0;100.0;25.0;2;20;2;134;3.71
Madrid, Comunidad de Madrid 28005, Spain;;Madrid;28005;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;45.0;;20.0;1;0;1;28;6.0
Trafalgar, Madrid, Comunidad de Madrid 28010, Spain;Trafalgar;Madrid;28010;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;50.0;;30.0;2;0;2;65;3.36
Berruguete, Madrid, Comunidad de Madrid 28039, Spain;Berruguete;Madrid;28039;Spain;Loft;Entire home/apt;4;2.0;2.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Breakfast,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;56.0;100.0;30.0;2;15;1;9;1.47
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;59.0;150.0;50.0;1;20;1;25;1.22
Jerónimos, Madrid, Comunidad de Madrid 28007, Spain;Jerónimos;Madrid;28007;Spain;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;260.0;;250.0;1;0;30;1;0.06
Madrid, Comunidad de Madrid 28012, Spain;;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;45.0;;10.0;1;0;2;6;4.39
Madrid, Comunidad de Madrid 28005, Spain;;Madrid;28005;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,translation missing: en.hosting_amenity_50;20.0;;;1;0;1;10;1.53
Madrid, Comunidad de Madrid 28004, Spain;;Madrid;28004;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials;45.0;;5.0;1;15;3;1;0.05
Madrid, Comunidad de Madrid 28001, Spain;;Madrid;28001;Spain;Apartment;Entire home/apt;5;1.0;2.0;5.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;150.0;;;1;0;2;4;0.71
Palos do Moguer, Madrid, Comunidad de Madrid 28045, Spain;Palos do Moguer;Madrid;28045;Spain;Apartment;Entire home/apt;3;1.0;2.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Smoking allowed,Pets allowed,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;75.0;;40.0;3;0;3;1;1.0
Justicia, Madrid, Comunidad de Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;59.0;;10.0;2;20;2;19;1.91
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;8;2.0;3.0;5.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;168.0;100.0;35.0;5;0;2;1;0.08
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Bed & Breakfast;Private room;3;2.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Smoking allowed,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Laptop friendly workspace;28.0;150.0;15.0;1;15;1;446;6.18
Pacifico, Madrid, Comunidad de Madrid 28007, Spain;Pacifico;Madrid;28007;Spain;Bed & Breakfast;Private room;3;1.5;1.0;3.0;Real Bed;Internet,Wireless Internet,Wheelchair accessible,Smoking allowed,Doorman,Breakfast,Pets live on this property,Dog(s),Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;20.0;;10.0;1;8;1;4;0.35
Jerónimos, Madrid, Comunidad de Madrid 28014, Spain;Jerónimos;Madrid;28014;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;52.0;150.0;22.0;1;0;3;8;0.42
Gaztambide, Madrid, Comunidad de Madrid 28015, Spain;Gaztambide;Madrid;28015;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;53.0;;;2;15;1;35;5.59
Madrid, Comunidad de Madrid 28004, Spain;;Madrid;28004;Spain;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials;110.0;;;1;0;5;2;0.08
Madrid, Comunidad de Madrid 28026, Spain;;Madrid;28026;Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Suitable for events,Washer,Shampoo,24-hour check-in,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;21.0;120.0;;1;19;1;6;0.56
Ciudad Lineal, Madrid, Comunidad de Madrid 28033, Spain;Ciudad Lineal;Madrid;28033;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Pool,Kitchen,Gym,Breakfast,Elevator in building,Heating,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;32.0;;30.0;1;0;1;0;
El Tréntaiseis, Madrid, Madrid 28007, Spain;El Tréntaiseis;Madrid;28007;Spain;Apartment;Entire home/apt;5;1.0;2.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;60.0;95.0;15.0;4;15;2;100;1.68
Madrid, Comunidad de Madrid 28017, Spain;;Madrid;28017;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Wheelchair accessible,Kitchen,Free parking on premises,Smoking allowed,Pets live on this property,Elevator in building,Heating,Washer,Safety card,Fire extinguisher,24-hour check-in,Hangers,Iron;26.0;;;1;0;1;3;0.96
Madrid, Comunidad de Madrid 28012, Spain;;Madrid;28012;Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,translation missing: en.hosting_amenity_49;38.0;100.0;15.0;1;0;1;5;0.42
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.5;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo;90.0;150.0;;1;0;1;14;0.63
Ciudad Jardin, Madrid, Comunidad de Madrid 28002, Spain;Ciudad Jardin;Madrid;28002;Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets live on this property,Dog(s),Heating,Family/kid friendly,Suitable for events,Washer,Hangers,Iron;25.0;;;1;0;1;0;
Cortes, Madrid, Comunidad de Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;60.0;;30.0;2;15;1;10;1.88
Madrid, Comunidad de Madrid 28012, Spain;;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;1.0;3.0;Real Bed;Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;49.0;200.0;20.0;2;20;2;118;5.5
Madrid, Comunidad de Madrid 28005, Spain;;Madrid;28005;Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Heating,Lock on bedroom door,24-hour check-in,Hangers,Iron,translation missing: en.hosting_amenity_50;30.0;;;1;0;1;46;6.39
Malasaña, Madrid, Madrid 28013, Spain;Malasaña;Madrid;28013;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;63.0;100.0;25.0;2;15;3;208;3.29
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron;70.0;;25.0;3;0;2;213;4.41
Sol, Madrid, Community of Madrid 28005, Spain;Sol;Madrid;28005;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Dog(s),Cat(s),Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo;80.0;;25.0;1;0;1;344;6.96
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;2.0;1.0;Pull-out Sofa;TV,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;54.0;;12.0;1;0;2;33;0.78
Madrid, Comunidad de Madrid 28012, Spain;;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;50.0;;;1;0;3;0;
