Street;Neighbourhood;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews;Reviews per Month
Acacias, Madrid, Comunidad de Madrid 28005, Spain;Acacias;Madrid;28005;Spain;40.40072667784218;-3.7062031331998697;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Cable TV,Wheelchair accessible,Pool,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron;753.0;60.0;100.0;30.0;2;12;2;16;0.22
Madrid, Madrid 28025, Spain;Carabanchel;Madrid;28025;Spain;40.377540924988914;-3.742760771450331;Apartment;Entire home/apt;2;1.0;2.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Washer;807.0;20.0;;;1;0;1;1;0.05
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.40670749496131;-3.6977663025271057;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials;55.0;83.0;200.0;33.0;2;11;4;5;0.11
Madrid, Community of Madrid 28045, Spain;Palos do Moguer;Madrid;28045;Spain;40.40545767478586;-3.6935334238480326;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Heating,Washer,Shampoo,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;194.0;35.0;150.0;20.0;1;10;2;22;0.61
Villaverde, Madrid, Madrid 28041, Spain;Villaverde;Madrid;28041;Spain;40.355601075084365;-3.698285380255992;Apartment;Entire home/apt;5;1.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;60.0;55.0;150.0;30.0;1;0;3;51;1.66
Carabanchel, Madrid, Community of Madrid 28019, Spain;Carabanchel;Madrid;28019;Spain;40.394653029147285;-3.708177888895239;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron;70.0;60.0;;;1;0;1;55;1.79
Justicia, Madrid, Community of Madrid 28004, Spain;Justicia;Madrid;28004;Spain;40.42156373443715;-3.697185469296664;Apartment;Entire home/apt;4;1.0;0.0;2.0;Pull-out Sofa;TV,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;538.0;54.0;100.0;20.0;2;10;2;91;1.9
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;40.4086283742898;-3.704200749088123;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Gym,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_50;344.0;65.0;100.0;50.0;2;20;5;21;0.39
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;40.41869434044165;-3.703179979465018;Apartment;Entire home/apt;10;3.0;3.0;7.0;Real Bed;TV,Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer;807.0;150.0;150.0;;8;20;2;6;0.44
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.40814073580229;-3.701711370636538;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Room-darkening shades;592.0;56.0;100.0;35.0;2;7;3;25;0.4
Ciudad Jardin, Madrid, Community of Madrid 28002, Spain;Ciudad Jardin;Madrid;28002;Spain;40.44750187055294;-3.669542811599865;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;646.0;69.0;110.0;30.0;1;0;5;12;0.31
Ciudad Lineal, Madrid, Madrid 28027, Spain;Ciudad Lineal;Madrid;28027;Spain;40.437934299120094;-3.6519029591565744;Bed & Breakfast;Private room;3;1.0;1.0;3.0;Real Bed;TV,Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials;969.0;25.0;;10.0;1;11;2;6;0.17
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;40.411182432920754;-3.7096281970661455;Apartment;Entire home/apt;6;2.0;2.0;4.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;85.0;118.0;200.0;48.0;2;11;4;39;0.68
Rios Rosas, Madrid, Madrid 28003, Spain;Rios Rosas;Madrid;28003;Spain;40.441527272629344;-3.6945707601684825;Apartment;Entire home/apt;6;4.0;4.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Pool,Doorman,Elevator in building,Heating,Family/kid friendly,Washer;2153.0;197.0;300.0;62.0;1;12;3;10;0.24
Fuencarral-el Pardo, Madrid, Community of Madrid 28035, Spain;Fuencarral-el Pardo;Madrid;28035;Spain;40.48218479138733;-3.72568389885215;House;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Free parking on premises,Buzzer/wireless intercom,Heating,First aid kit,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;700.0;21.0;100.0;;1;0;2;6;0.69
Justicia, Madrid, Community of Madrid 28004, Spain;Justicia;Madrid;28004;Spain;40.42555584884768;-3.70066677944618;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;753.0;75.0;150.0;30.0;2;10;3;85;1.57
Palacio, Madrid, Community of Madrid 28005, Spain;Palacio;Madrid;28005;Spain;40.41436759054064;-3.713352284637064;House;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Iron,Laptop friendly workspace;969.0;15.0;;;1;15;3;16;0.49
Sol, Madrid, Comunidad de Madrid 28012, Spain;Sol;Madrid;28012;Spain;40.416013616858784;-3.708528782734712;Apartment;Entire home/apt;8;1.0;2.0;6.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials;883.0;145.0;300.0;50.0;1;28;3;126;1.92
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.42065696789537;-3.704939998070219;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;40.0;76.0;200.0;32.0;2;11;4;13;0.27
Almagro, Madrid, Community of Madrid 28010, Spain;Almagro;Madrid;28010;Spain;40.43329048028244;-3.69724463095756;House;Private room;11;3.0;4.0;9.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room,Private entrance;2691.0;23.0;100.0;30.0;1;22;4;9;0.23
Justicia, Madrid, Madrid 28004, Spain;Justicia;Madrid;28004;Spain;40.42146482113059;-3.699407837445162;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo;861.0;37.0;;;1;0;1;11;0.19
Cortes, Madrid, Comunidad de Madrid 28014, Spain;Cortes;Madrid;28014;Spain;40.41159416469695;-3.69356485093467;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;678.0;50.0;;20.0;16;0;3;18;1.57
San Blas, Madrid, Community of Madrid 28037, Spain;San Blas;Madrid;28037;Spain;40.42701739369704;-3.616039695507369;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;151.0;20.0;;;1;10;1;5;0.2
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;40.41042790107283;-3.709436604702863;Apartment;Entire home/apt;6;1.0;2.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;85.0;113.0;200.0;48.0;2;11;5;7;0.19
La Latina, Madrid, Community of Madrid 28012, Spain;La Latina;Madrid;28012;Spain;40.41146036789353;-3.7070015518114032;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;54.0;42.0;200.0;;1;20;1;32;0.58
Sol, Madrid, Community of Madrid 28012, Spain;Sol;Madrid;28012;Spain;40.416861904352686;-3.705872534844616;Apartment;Entire home/apt;8;2.0;2.0;8.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer;1292.0;110.0;;;4;19;1;7;0.19
