Street;Neighbourhood;City;Zipcode;Country;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Location;Cancellation Policy;Reviews per Month
Madrid, Community of Madrid, Spain;;Madrid;;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Cable TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;55.0;;;1;0;1;1;6;17;256;72;9.0;flexible;7.63
Madrid, Comunidad de Madrid 28017, Spain;;Madrid;28017;Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials;;21.0;;;1;0;1;30;60;90;365;0;;flexible;
Cortes, Madrid, Comunidad de Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;110.0;175.0;50.0;4;15;2;11;25;42;289;58;10.0;moderate;2.28
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;39.0;;;1;0;2;1;2;11;56;11;10.0;moderate;2.97
Pacifico, Madrid, Comunidad de Madrid 28007, Spain;Pacifico;Madrid;28007;Spain;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Washer,Essentials,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;500.0;;;1;0;1;29;59;89;89;1;;flexible;0.1
Madrid, Comunidad de Madrid, Spain;;Madrid;;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,translation missing: en.hosting_amenity_50;;65.0;;10.0;1;0;1;1;1;1;1;0;;flexible;
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Heating,Family/kid friendly,Essentials,Shampoo;0.0;50.0;100.0;25.0;2;20;2;3;16;33;304;134;10.0;moderate;3.71
Madrid, Comunidad de Madrid 28005, Spain;;Madrid;28005;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;45.0;;20.0;1;0;1;4;13;38;38;28;9.0;strict;6.0
Trafalgar, Madrid, Comunidad de Madrid 28010, Spain;Trafalgar;Madrid;28010;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;50.0;;30.0;2;0;2;6;8;28;299;65;10.0;moderate;3.36
Berruguete, Madrid, Comunidad de Madrid 28039, Spain;Berruguete;Madrid;28039;Spain;Loft;Entire home/apt;4;2.0;2.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Breakfast,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;;56.0;100.0;30.0;2;15;1;4;34;64;339;9;9.0;moderate;1.47
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;59.0;150.0;50.0;1;20;1;13;32;53;135;25;10.0;strict;1.22
Jerónimos, Madrid, Comunidad de Madrid 28007, Spain;Jerónimos;Madrid;28007;Spain;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;260.0;;250.0;1;0;30;0;0;13;288;1;;strict;0.06
